,Ahlgren Scott D.,Albin Pierre,Balogh József,Baryshnikov Yuliy M.,Berwick-Evans Daniel,Boca Florin-Petre,Bradlow Steven Benjamin,Bronski Jared C.,Cooney Daniel B.,De Ville R E Lee,Dey Partha Sarathi,Di Francesco Philippe,Dodd Christopher,Dunfield Nathan M.,Dutta Sankar Prasad,Duursma Iwan Maynard,Erdoğan Mehmet Burak,Fadina Tolulope,Feng Runhuan,Fernandes Rui Loja,Ford Kevin B.,Guzman Rosemary K.,Haboush William J.,Heller Jeremiah Ben,Hinkkanen Aimo,Hirani Anil N.,Hung Pei-Ken,Hur Vera Mikyoung,Ivanov Sergei Vladimirovich,Janda Felix,Jing Xiaochen,Junge Marius,Katz Sheldon H.,Kedem Rinat,Kerman Ely,Kirkpatrick Kay Lene,Kirr Eduard,Kostochka Alexandr V.,Kutzarova Denka N.,La Nave Gabriele,Laugesen Richard Snyder,Leditzky Felix,Lerman Eugene M.,Liu Yuan,Li Xiaochun,Mc Carthy Randy,Mineyev Igor,Nikolaev Igor G.,Oikhberg Timur,Pascaleff James Thomas,Quan Zhiyu,Rapti Zoi,Rasmussen Jacob,Rasmussen Sarah Dean,Rezk Charles W.,Reznick Bruce,Song Renming,Sowers Richard B.,Stojanoska Vesna,Thorner Jesse,Tolman Susan,Tumanov Alexander,Tyson Jeremy T.,Tzirakis Nikolaos,Wei Wei,Wu Xuan,Yong Alexander T F.,Young Amanda,Zaharescu Alexandru,Zharnitsky Vadim
Ahlgren Scott D.,475,0,0,0,2,7,0,0,0,0,0,1,0,6,0,2,1,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,2,1,0,0,3,27,1,0,0,0,0,1,1,0,71,0
Albin Pierre,0,601,0,10,6,0,4,1,0,1,0,0,0,8,0,0,3,0,0,4,0,0,2,0,2,2,2,3,1,3,0,4,1,0,6,1,0,0,0,6,4,0,8,0,0,0,1,0,1,0,0,0,2,0,2,0,1,2,0,0,9,2,7,0,0,0,0,0,3,1
Balogh József,0,0,1699,5,0,1,0,4,0,6,9,0,0,3,0,1,2,0,0,0,19,0,0,0,0,0,0,0,4,0,0,3,0,0,0,2,1,282,7,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,1,1,14,1,8,0
Baryshnikov Yuliy M.,0,10,5,607,1,2,3,2,0,9,5,12,0,2,0,2,5,0,0,7,0,2,0,1,2,3,2,3,0,1,0,6,3,1,6,2,1,1,0,1,12,1,7,0,1,0,1,2,0,2,0,2,2,0,0,0,9,10,1,0,4,7,12,1,0,1,10,1,5,39
Berwick-Evans Daniel,2,6,0,1,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0
Boca Florin-Petre,7,0,1,2,0,408,0,1,0,1,0,0,1,1,0,2,2,0,0,0,20,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0,0,4,0,0,0,1,0,1,0,3,1,0,1,0,0,0,3,3,0,0,7,0,0,3,1,0,0,0,1,196,1
Bradlow Steven Benjamin,0,4,0,3,0,0,294,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,5,0,0,0,0,1,3,0,1,0
Bronski Jared C.,0,1,4,2,0,1,0,632,1,132,2,1,0,0,0,3,26,0,0,2,0,0,0,0,1,2,0,90,1,0,0,2,0,0,0,2,15,1,0,0,7,1,3,0,0,0,0,0,1,1,0,86,2,0,0,1,4,1,0,1,1,1,3,8,0,0,4,1,6,10
Cooney Daniel B.,0,0,0,0,0,0,0,1,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
De Ville R E Lee,0,1,6,9,0,1,1,132,3,554,4,0,0,0,0,1,5,1,2,1,1,0,0,0,4,2,0,4,0,0,0,1,0,0,0,4,2,3,0,0,7,1,67,0,0,0,0,0,0,0,0,25,2,0,0,1,9,14,0,0,0,1,0,4,0,0,3,0,2,8
Dey Partha Sarathi,0,0,9,5,0,0,0,2,0,4,310,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,1,0,6,0,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,2,0,0,0,0,1,0,0,9,2,0,0,0
